pair_id,subset,L1,a1,b1,L2,a2,b2,DV
1028,BFD-D65,49.629257,-50.081348,15.955322,49.833973,-51.532883,12.004609,1.630000
1029,BFD-D65,49.953800,-47.965702,-0.350058,49.773891,-48.058891,-4.376344,1.920000
1030,BFD-D65,53.069675,-41.547806,-8.875042,53.395325,-41.950710,-5.948508,1.560000
1031,BFD-D65,37.003853,-28.441145,-15.471752,37.059353,-27.696524,-17.697077,1.420000
1032,BFD-D65,37.003853,-28.441145,-15.471752,36.668377,-26.338417,-18.475231,1.950000
1033,BFD-D65,37.206795,-19.681837,-23.649042,37.770546,-17.418816,-25.642082,1.250000
1034,BFD-D65,38.021313,-12.454347,-26.629408,37.985630,-9.354229,-27.908321,1.410000
1035,BFD-D65,38.021313,-3.922389,-27.540432,38.216721,-0.889203,-27.848351,1.870000
1036,BFD-D65,42.898540,8.312167,-30.312408,43.048145,11.324059,-28.988466,3.020000
1037,BFD-D65,42.973438,17.843439,-25.242090,43.345097,19.758728,-23.559269,1.690000
1038,BFD-D65,45.289864,32.366905,-17.890408,44.941620,35.310215,-13.260398,1.950000
1039,BFD-D65,43.152416,37.732285,-9.617787,43.551212,37.747250,-6.274321,1.100000
1040,BFD-D65,43.152416,37.732285,-9.617787,43.930248,38.377018,-3.941547,1.890000
1041,BFD-D65,35.242119,45.157204,16.384867,35.703606,43.352867,21.707296,2.690000
1042,BFD-D65,51.244118,59.328182,41.382378,51.467751,57.243237,45.680168,2.620000
1043,BFD-D65,46.324947,59.827499,45.505112,46.783676,57.278339,49.358768,2.120000
1044,BFD-D65,49.977715,37.940170,51.353111,49.707680,34.859726,54.114765,1.970000
1045,BFD-D65,69.426773,23.786797,62.873615,69.448158,19.048836,64.801262,2.750000
1046,BFD-D65,51.128857,-32.447636,45.799156,51.450600,-36.629578,42.413197,1.670000
1047,BFD-D65,39.931938,-48.000504,-2.849306,39.806923,-47.109764,-6.132222,1.910000
1048,BFD-D65,39.931938,-48.000504,-2.849306,39.981789,-47.982750,-9.237774,3.570000
1049,BFD-D65,47.905281,-49.585243,-6.786449,47.352684,-49.861763,-9.634287,1.880000
