pair_id,L1,a1,b1,L2,a2,b2,DV
89,14.000000,-0.500000,0.520000,14.912902,-0.040249,0.925856,1.020000
90,14.420000,-0.450000,0.440000,14.988046,-1.090790,1.080790,1.020000
91,14.340000,-0.340000,0.080000,13.620920,0.235882,0.541530,1.020000
92,13.710000,-0.960000,0.290000,14.182375,-0.211113,-0.081563,1.020000
93,68.770000,-30.780000,-5.010000,70.025628,-30.897242,-5.035213,1.020000
94,68.590000,-30.890000,-5.180000,68.638004,-28.492202,-5.280808,1.020000
95,68.400000,-30.890000,-5.070000,68.310992,-30.062225,-3.496338,1.020000
96,68.420000,-30.650000,-5.260000,69.143882,-29.753073,-4.612733,1.020000
97,69.000000,-30.750000,-4.850000,70.019393,-31.498773,-3.774158,1.020000
98,68.700000,-30.570000,-4.910000,67.875326,-29.313674,-4.160907,1.020000
99,68.960000,-30.640000,-4.910000,69.759858,-30.176847,-6.053914,1.020000
100,28.890000,21.190000,17.640000,29.943811,21.216504,17.754499,1.020000
101,28.840000,20.830000,17.650000,28.869258,21.995647,17.754159,1.020000
102,28.920000,21.100000,17.800000,28.955208,20.997438,19.327720,1.020000
103,28.730000,21.120000,17.680000,29.386870,21.703638,18.356843,1.020000
104,29.170000,21.250000,17.980000,29.732628,20.667001,18.513527,1.020000
105,29.010000,21.280000,17.890000,28.093816,22.064109,18.582352,1.020000
106,28.690000,21.080000,17.990000,29.283889,21.706196,17.591857,1.020000
107,32.260000,-33.200000,-5.070000,33.281479,-32.851229,-5.049484,1.020000
108,31.590000,-33.430000,-4.950000,31.396585,-29.809848,-5.362376,1.020000
109,31.600000,-33.500000,-5.020000,31.605720,-32.853645,-3.744450,1.020000
110,31.540000,-33.570000,-5.130000,32.306473,-31.537478,-4.429681,1.020000
111,31.310000,-34.000000,-5.020000,32.131955,-34.552080,-4.073382,1.020000
112,31.390000,-34.110000,-4.880000,30.606143,-32.930439,-4.354408,1.020000
113,31.800000,-34.130000,-4.880000,32.376978,-33.342997,-5.543112,1.020000
114,59.950000,-13.710000,-25.840000,61.157247,-13.553911,-25.902192,1.020000
115,59.290000,-13.790000,-26.980000,59.033008,-12.151675,-26.646925,1.020000
116,59.990000,-13.090000,-25.820000,59.638019,-12.584804,-23.842694,1.020000
117,59.510000,-13.540000,-25.820000,60.093369,-12.858577,-25.399063,1.020000
118,60.210000,-13.240000,-25.560000,61.028310,-14.038270,-24.342555,1.020000
119,60.540000,-13.240000,-25.560000,59.625640,-12.434492,-24.953148,1.020000
120,59.840000,-13.470000,-25.700000,60.958114,-12.391119,-27.227871,1.020000
121,18.240000,25.930000,3.260000,19.301862,26.110398,3.174662,1.020000
122,17.330000,25.070000,3.290000,16.432527,26.569287,3.363477,1.020000
123,16.990000,25.030000,3.830000,17.171032,25.169511,5.475897,1.020000
124,18.130000,26.020000,3.590000,19.003179,26.856264,4.333977,1.020000
125,18.100000,25.770000,3.350000,19.248702,24.999772,4.267966,1.020000
126,16.210000,24.300000,3.160000,16.238960,25.722643,4.278567,1.020000
127,16.500000,24.540000,3.380000,17.109692,25.359273,2.479072,1.020000
128,58.420000,31.060000,-0.160000,59.722245,31.086990,0.190864,1.020000
129,58.130000,31.590000,-0.390000,58.110880,33.977611,-0.284840,1.020000
130,58.060000,31.690000,-0.220000,57.713029,32.261137,1.610367,1.020000
131,58.180000,31.350000,-0.350000,59.073881,32.399266,0.595676,1.020000
132,57.580000,32.000000,0.280000,58.633189,31.317232,1.221748,1.020000
133,58.140000,31.600000,-0.230000,57.034207,32.476736,0.479287,1.020000
134,58.250000,31.270000,-0.210000,59.461134,32.134855,-1.007288,1.020000
135,30.130000,6.620000,-30.840000,31.148533,6.610815,-30.767539,1.020000
136,30.400000,7.230000,-31.660000,30.313956,8.603887,-31.970324,1.020000
137,30.130000,6.610000,-30.750000,29.995411,6.909875,-29.615434,1.020000
138,30.240000,6.870000,-31.580000,30.634022,7.709523,-31.233499,1.020000
139,30.380000,6.880000,-31.370000,31.385855,5.954196,-30.292795,1.020000
140,29.930000,6.790000,-30.810000,29.289812,7.635733,-30.661194,1.020000
141,30.090000,6.780000,-31.010000,31.078876,7.789878,-32.042631,1.020000
142,83.380000,0.060000,0.130000,84.660619,-0.142819,0.227509,1.020000
143,84.670000,-0.040000,0.720000,84.638369,0.978309,0.657759,1.020000
144,82.690000,1.240000,0.660000,83.238350,0.380375,2.154843,1.020000
145,83.890000,-0.350000,-0.240000,84.591699,0.442403,0.442802,1.020000
146,83.920000,1.020000,-0.000000,84.632612,0.161874,0.777889,1.020000
147,83.430000,0.960000,0.160000,82.934348,1.773636,0.492117,1.020000
148,82.390000,-0.740000,0.070000,83.741785,-0.616685,-0.702672,1.020000
149,75.900000,18.000000,79.700000,77.480198,18.399534,79.628247,1.020000
150,76.110000,18.210000,79.890000,75.979532,20.095165,79.803021,1.020000
151,76.190000,18.090000,79.850000,76.242924,17.891533,84.255964,1.020000
152,76.170000,18.260000,80.010000,77.075839,19.871085,81.034084,1.020000
153,76.100000,18.350000,79.810000,77.315629,17.432505,81.254478,1.020000
154,75.840000,18.440000,80.110000,74.778160,19.392612,81.193328,1.020000
155,76.090000,18.230000,79.890000,76.876738,19.773787,78.666421,1.020000
156,36.110000,-1.350000,-27.300000,35.164247,-1.516107,-27.287518,1.020000
157,35.850000,-1.400000,-27.120000,35.873294,-2.766151,-27.013120,1.020000
158,35.860000,-1.510000,-26.930000,36.067689,-1.967226,-28.396224,1.020000
159,35.920000,-1.620000,-28.360000,35.923030,-2.317986,-29.090310,1.020000
160,36.290000,-1.660000,-28.440000,36.376932,-0.513783,-31.447211,1.020000
161,34.720000,-1.350000,-28.240000,34.404095,-2.189586,-28.805024,1.020000
162,36.220000,-1.740000,-28.300000,35.414216,-1.209102,-28.978369,1.020000
163,34.770000,-1.240000,-27.990000,35.287823,-1.787412,-28.426015,1.020000
164,33.180000,-1.090000,-28.100000,32.517230,-2.091043,-27.149468,1.020000
165,50.650000,-16.210000,-11.230000,49.871963,-16.234947,-11.195698,1.020000
166,50.770000,-16.180000,-11.080000,50.893132,-17.793676,-11.000612,1.020000
167,50.650000,-16.080000,-11.000000,50.776346,-16.648556,-12.511289,1.020000
168,50.770000,-16.280000,-11.630000,50.710317,-17.513450,-12.534428,1.020000
169,50.820000,-16.150000,-11.100000,50.793355,-15.430578,-12.393776,1.020000
170,49.960000,-16.690000,-11.380000,49.382213,-17.622394,-11.957787,1.020000
171,49.890000,-16.550000,-11.360000,49.226047,-16.149028,-11.990955,1.020000
172,49.830000,-16.430000,-11.200000,50.550412,-17.231384,-11.708456,1.020000
